"Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Bonus","Name","Pos","WAR","G_bat","AB","HR","BA","OPS","G_pitch","W","L","ERA","WHIP","SV","Type","Drafted Out of"
"2005","4","","135","FrRnd","25","Twins","Y","$40,000","Caleb Moore (minors)","C","","","","","","","","","","","","","4Yr","East Tennessee State University (Johnson City, TN)"
"2005","4","","136","FrRnd","26","Dodgers","Y","$212,000","Josh Bell (minors)","3B","-1.1","100","272","4",".195",".488","","","","","","","HS","Santaluces Community HS (Lantana, FL)"
"2005","4","","137","FrRnd","27","Braves","Y","$210,000","Mike Broadway (minors)","RHP","-0.4","25","0","0","","","25","0","2","6.75","1.63","0","HS","Pope County HS (Golconda, IL)"
"2005","4","","138","FrRnd","28","Red Sox","Y","$75,000","Scott Blue (minors)","RHP","","","","","","","","","","","","","HS","Morro Bay HS (Morro Bay, CA)"
"2005","4","","139","FrRnd","29","Yankees","Y","$215,000","Lance Pendleton (minors)","RHP","-0.1","4","0","0","","","15","0","0","6.75","1.66","0","4Yr","Rice University (Houston, TX)"
"2005","4","","140","FrRnd","30","Cardinals","Y","$250,000","Bryan Anderson (minors)","C","-0.5","40","68","0",".221",".556","","","","","","","HS","Simi Valley HS (Simi Valley, CA)"
"2005","5","","141","FrRnd","1","Diamondbacks","Y","$200,000","Chris Rahl (minors)","OF","","","","","","","","","","","","","4Yr","College of William and Mary (Williamsburg, VA)"
"2005","5","","142","FrRnd","2","Royals","Y","$175,000","Shawn Hayes (minors)","SS","","","","","","","","","","","","","4Yr","Franklin Pierce University (Rindge, NH)"
"2005","5","","143","FrRnd","3","Mariners","Y","$190,000","Stephen Kahn (minors)","RHP","","","","","","","","","","","","","4Yr","Loyola Marymount University (Los Angeles, CA)"
"2005","5","","144","FrRnd","4","Nationals","Y","$187,500","Ryan DeLaughter (minors)","OF","","","","","","","","","","","","","HS","Billy Ryan HS (Denton, TX)"
"2005","5","","145","FrRnd","5","Brewers","Y","$180,000","Kevin Roberts (minors)","RHP","","","","","","","","","","","","","4Yr","University of Houston (Houston, TX)"
"2005","5","","146","FrRnd","6","Blue Jays","Y","$182,500","Eric Fowler (minors)","LHP","","","","","","","","","","","","","4Yr","University of Mississippi (Oxford, MS)"
"2005","5","","147","FrRnd","7","Rockies","Y","$180,000","Josh Sullivan (minors)","RHP","","","","","","","","","","","","","4Yr","Auburn University (Auburn, AL)"
